Country,telephone,agriculturarl_pop,energy_consume,illiterates,GNP,pop_x_energy_abs,income_abs,population_abs,unassesment,defense_exp_abs,english_titles,bloc_membership_0,usaid_received,freedom_of_opposition_0,IFC_and_IBRD,threats,accusations,killed_foreign_violence,military_action,protests,killed_domestic_violence,riots,purges,demonstrations,catholics,air_distance,medicine_ngo,diplomat_expelled,divorces,population/land,arable,area,road_length,rail_road_length,religions,immigrants/migrants,rainfall,largest_relgn,running_water,foreign_college_students,neutral_block,age,religious_titles,emigrants,seaborne_goods,lawngos,unemployed,export,languages,largest_lang,ethnic_groups,economic_aid_taken,tech_assistance_taken,gov_education_spend,female_workers,exports,foreign_mail,import,calories_consumed,protein,russian_titles,military_personel,investments,political_perties,arts_culture_ngo,communist_party,gov_spending,monarchy,primary_school,gov_change_legal0,legitimate_gov0,largest_ethnic,assasinations,major_gov_crisis,unpayment_delinquence,balanced_payments,balanced_investments,system_style0,constitutional0,electoral_system0,non_communist,political_leadership0,horizontal_power0,military0,bureucracy0,censorship0,geographyx,geographyy,geographyz,bloc_membership1,bloc_membership2,freedom_of_opposition1,freedom_of_opposition2,gov_change_legal1,gov_change_legal2,legitimate_gov1,system_style1,system_style2,constitutional1,constitutional2,electoral_system1,electoral_system2,political_leadership1,political_leadership2,horizontal_power2,military1,military2,bureaucracy1,bureaucracy2,censorship1,censorship2
Brazil,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0.5,1,0,0,0,0.5,1,1,0.5,0.5,1,1,0.5,0.5,0,1,0.5,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1
Burma,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,1,0,1,1,0.5,0,0,0,1,0.5,0,0,0.5,1,0,1,1,0,0,1,1,1,0,0,0.5,0.5,1,0,0.5,0,0,0,0,0,1,0,0,0,1,0,0,0,0.5,0,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
China,0,1,0,1,0,1,0.5,1,0,0,0.5,1,0,1,0.5,1,1,0,1,1,0,0,0,0,0,0,0,0,0.5,0,0.5,1,0,0,0,0.5,1,0,0.5,0.5,1,0,0.5,0.5,0.5,1,0.5,0.5,1,0,0,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,0,0,1,0.5,0,0.5,0,0,1,0,0,0,0.5,0.5,0,1,1,0,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
Cuba,0,0,0,0,0,0,0,0,0,0,0.5,1,0,1,0.5,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0.5,0,0,1,0,0,1,1,0,0,1,1,0,0.5,0.5,0,0.5,1,0,1,1,0,0,0,0,1,0.5,0,0.5,0.5,0.5,1,0.5,0,1,0,1,0,0,1,0,1,1,0,1,0.5,0.5,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
Egypt,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0.5,1,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0.5,0,0,0.5,0,1,0.5,1,0,0,1,0.5,1,1,0,1,0,0.5,0,1,0,1,0,1,0,1,1,0.5,0,0,1,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0
India,0,1,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,0,0.5,1,1,0,0,0.5,1,0.5,1,1,0.5,0,0,0,1,0.5,0,0,0.5,0,1,0,0.5,1,1,0.5,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1
Indonesia,0,1,0,1,0,0,0,0,0.5,0,1,0,0,0,0.5,1,0,0,1,0,1,1,1,1,0,1,0,0,0.5,0,0,0,0,0,1,0.5,1,1,0.5,0.5,0,1,0.5,0.5,1,0,0.5,0,0,0.5,0.5,0,0,0.5,1,0,0,0,0.5,0,0,0,0,1,0,0,0.5,0,1,1,0,0,1,1,0,0.5,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0
Israel,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1,0.5,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1
Jordan,0,0,0,1,0,0,0,0,0,0,0.5,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0.5,0,1,0,1,0.5,0,0,0,0,0.5,0,1,0.5,0,0,0.5,1,0,0,0,0,0,1,1,0,0,0.5,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
Netherlands,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0.5,1,1,0,1,1,0,0,0,0,1,0,0.5,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,1
Poland,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0.5,0,0,1,0,0,0,0.5,1,0,1,0,1,1,1,0,0.5,0,1,1,1,0,0,0,1,1,0,0,0,0.5,0.5,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
USSR,0,0,1,0,1,1,1,1,1,1,0,1,0,1,0.5,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0.5,0,0,0.5,0,1,0,0,0.5,0,0,0.5,0.5,1,0,1,0,0,0.5,1,0,0.5,0,0.5,0.5,0.5,0,0.5,0,1,1,1,0,0,0,1,0,0,0,0,0.5,0.5,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
UK,1,0,1,0,1,0,1,0,1,0,0.5,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0.5,0.5,0,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1
USA,1,0,1,0,1,1,1,1,1,1,0.5,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0.5,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0.5,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1
